Journal Report 1 (R4)	Number of Successful Full-text Article Requests by Month and Journal																				
SIMON FRASER UNIV																					
																					
Period covered by Report:																					
2013-01-01 to 2013-12-31																					
Date run:																					
2014-02-24																					
Journal	Publisher	Platform	Journal DOI	Proprietary Identifier	Print ISSN	Online ISSN	Reporting Period Total	Reporting Period HTML	Reporting Period PDF	Jan-2013	Feb-2013	Mar-2013	Apr-2013	May-2013	Jun-2013	Jul-2013	Aug-2013	Sep-2013	Oct-2013	Nov-2013	Dec-2013
Archive for history of exact sciences	Springer Science & Business Media B.V.	EBSCOhost		6793	0003-9519	1432-0657	21	0	21	0	1	0	1	0	3	0	0	0	0	15	1
Archive for Mathematical Logic	Springer Science & Business Media B.V.	EBSCOhost		6794	0933-5846	1432-0665	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Archive for Rational Mechanics and Analysis	Springer Science & Business Media B.V.	EBSCOhost		6795	0003-9527	1432-0673	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0
Archive of Oncology	National Library of Serbia	EBSCOhost		383966	0354-7310	1450-9520	14	0	14	0	2	2	0	0	0	0	0	1	0	3	6
Archives of andrology	Wayne State University Press	EBSCOhost		6892	0148-5016	1521-0375	36	3	33	2	4	9	1	0	0	2	2	2	9	5	0
Archives of animal nutrition	Wayne State University Press	EBSCOhost		6782	1745-039X	1477-2817	21	0	21	0	0	1	4	3	3	1	1	1	4	2	1
Archives of Applied Science Research	Scholars Research Library	EBSCOhost		642718		0975-508X	59	0	59	2	2	6	4	0	2	8	0	6	14	15	0
Archives of Civil & Mechanical Engineering	Elsevier Science	EBSCOhost		339632	1644-9665	2083-3318	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Archives of Dermatological Research	Springer Science & Business Media B.V.	EBSCOhost		6863	0340-3696	1432-069X	29	0	29	0	1	0	0	4	1	4	1	4	2	10	2
Archives of Disease in Childhood (ADC): Education and Practice Edition	BMJ Publishing Group	EBSCOhost		148477	1743-0585	1743-0593	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Archives of environmental contamination and toxicology	Springer Science & Business Media B.V.	EBSCOhost		6915	0090-4341	1432-0703	66	0	66	4	2	15	6	5	1	1	2	3	8	8	11
Archives of environmental health	Wayne State University Press	EBSCOhost		6916	0003-9896		272	56	216	4	18	48	21	17	8	15	18	30	39	41	13
Archives of Environmental and Occupational Health	Heldref Publications	EBSCOhost		208823	1933-8244	2154-4700	149	0	149	8	8	18	6	10	14	11	3	9	12	25	25
Archives of Exercise in Health and Disease	Archives of Exercise in Health & Disease	EBSCOhost		657326	1647-1652		49	0	49	7	2	13	1	0	0	2	1	5	12	4	2
Archives of gynecology and obstetrics	Springer Science & Business Media B.V.	EBSCOhost		6926	0932-0067	1432-0711	282	2	280	18	25	16	12	24	23	15	20	36	55	34	4
Archives of Hellenic Medicine / Archeia Ellenikes Iatrikes	Athens Medical Society	EBSCOhost		361095	1105-3992		36	0	36	0	4	8	0	0	1	1	0	0	10	12	0
Archives of Industrial Hygiene and Toxicology = Arhiv za higijenu rada i toksikologiju	Versita	EBSCOhost		350103	0004-1254	1848-6312	73	0	73	3	14	13	1	3	4	2	2	7	11	10	3
Archives of internal medicine	American Medical Association	EBSCOhost		6933	0003-9926	1538-3679	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0
Archives of Iranian medicine	Academy of Medical Sciences of I.R. Iran	EBSCOhost		128973	1029-2977	1735-3947	106	0	106	8	11	19	3	1	2	8	3	1	27	18	5
Archives of microbiology	Springer Science & Business Media B.V.	EBSCOhost		6939	0302-8933	1432-072X	29	0	29	3	3	2	6	6	0	2	0	0	1	6	0
Archives of Orthopaedic and Trauma Surgery	Springer Science & Business Media B.V.	EBSCOhost		6951	0936-8051	1434-3916	216	0	216	19	21	43	22	6	2	2	8	11	38	30	14
Archives of Pathology and Laboratory Medicine	College of American Pathologists	EBSCOhost		6962	0003-9985	1543-2165	635	0	635	32	57	90	72	31	28	32	22	36	93	105	37
Archives of Pharmacy Practice	Electronic Journal of Contemporary Japanese Studies	EBSCOhost		767153	2045-080X	2320-5210	2	0	2	0	0	0	0	0	0	0	0	0	0	2	0
Archives Of Physiology And Biochemistry	International Pharmaceutical Federation	EBSCOhost		6973	1381-3455	1744-4160	58	0	58	12	8	7	2	2	2	3	2	2	5	12	1
Archives of Psychiatry & Psychotherapy	Editorial Committee of Polish Psychiatric Association	EBSCOhost		359252	1509-2046	2083-828X	193	0	193	29	19	35	21	5	1	9	3	9	20	34	8
Archives of Scientific Psychology	Johns Hopkins University Press	EBSCOhost		1751275	2169-3269		5	2	3	0	0	0	0	1	0	0	0	2	0	2	0
